City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country
0,San Quintin,30.48,-115.95,71.87,68,71,10.63,MX
1,Rikitea,-23.12,-134.97,69.22,83,70,19.75,PF
2,Atuona,-9.8,-139.03,78.58,79,48,22.68,PF
3,Cherskiy,68.75,161.3,38.35,89,100,10.96,RU
4,Lebu,-37.62,-73.65,50.29,65,0,22.84,CL
5,Ayna,-12.65,-73.92,71.6,26,20,4.7,PE
6,Port Alfred,-33.59,26.89,52.0,68,32,12.06,ZA
7,Arraial Do Cabo,-22.97,-42.03,89.6,55,0,9.17,BR
8,Erzin,36.96,36.2,84.99,86,0,2.62,TR
9,Bambanglipuro,-7.95,110.28,72.99,85,93,7.07,ID
10,Khatanga,71.97,102.5,45.75,84,100,8.01,RU
11,Cape Town,-33.93,18.42,51.8,57,20,4.7,ZA
12,Lincoln,40.8,-96.67,81.0,53,1,16.11,US
13,Tiksi,71.69,128.87,41.67,89,1,7.81,RU
14,Vaini,-21.2,-175.2,75.2,88,20,9.17,TO
15,Lagoa,39.05,-27.98,75.11,93,26,11.97,PT
16,Codrington,-38.27,141.97,45.55,73,58,10.09,AU
17,Yellowknife,62.46,-114.35,51.01,66,20,17.22,CA
18,Kapaa,22.08,-159.32,79.0,74,40,16.11,US
19,Port-Gentil,-0.72,8.78,78.8,78,75,16.78,GA
20,Hermanus,-34.42,19.23,48.0,76,18,11.41,ZA
21,Kresttsy,58.25,32.52,58.91,83,100,8.3,RU
22,Stromness,58.97,-3.3,53.6,71,40,2.24,GB
23,Hobart,-42.88,147.33,44.01,75,40,14.99,AU
24,Estelle,29.85,-90.11,84.0,100,75,5.82,US
25,Airai,-8.93,125.41,56.52,100,22,3.85,TL
26,Broome,42.25,-75.83,71.01,59,75,13.87,US
27,Te Anau,-45.42,167.72,48.0,74,53,10.6,NZ
28,Khasan,42.43,130.64,64.45,87,100,11.81,RU
29,Puerto Ayora,-0.74,-90.35,75.2,60,20,13.87,EC
30,Kudahuvadhoo,2.67,72.89,84.31,65,61,4.68,MV
31,Derzhavinsk,51.1,66.32,72.48,38,45,7.58,KZ
32,Deli Tua,3.51,98.68,74.68,92,100,2.3,ID
33,Carnarvon,-24.87,113.63,62.6,88,0,9.17,AU
34,Berlevag,70.86,29.09,46.4,87,75,6.93,NO
35,Georgetown,5.41,100.34,82.0,94,40,3.36,MY
36,Mahebourg,-20.41,57.7,71.6,83,75,13.87,MU
37,San Patricio,19.22,-104.7,79.09,88,99,1.99,MX
38,Batsfjord,70.63,29.72,46.4,87,75,6.93,NO
39,Kedrovyy,56.17,91.82,55.4,93,40,3.8,RU
40,New Norfolk,-42.78,147.06,44.01,74,91,3.0,AU
41,Ust-Karsk,52.7,118.81,52.77,91,100,3.15,RU
42,Kirillov,59.86,38.38,57.2,100,40,2.53,RU
43,Gueugnon,46.6,4.06,63.0,63,35,8.05,FR
44,Hohoe,7.15,0.47,77.07,76,89,2.95,GH
45,Belmonte,-15.86,-38.88,78.8,74,20,16.11,BR
46,Yershov,51.35,48.28,65.17,52,25,6.08,RU
47,Banda Aceh,5.56,95.32,80.11,79,99,9.66,ID
48,Rantauprapat,2.1,99.83,73.74,95,100,2.28,ID
49,Kirakira,-10.45,161.92,79.83,83,100,13.22,SB
